,crypto,actual price 8.28,pred price 8.28
0,Celsius,5.866648197174072,5.83720467112473
1,IOTA,1.0427169799804688,1.0405230522155762
2,Axie Infinity,73.68887329101562,71.9867325192468
3,chainlink,26.04,25.212348579472685
4,PAX Gold,1822.7208251953125,1817.224518805921
5,Hedera,0.2540949881076813,0.24887346495661963
6,bitcoin cash,635.97,644.0912292062519
7,Kava,8.160792350769043,8.032785182271105
8,Elrond,141.037841796875,141.06983947753906
9,Helium,22.797870635986328,22.02842762121367
10,Internet Computer,62.76066589355469,66.24524287626701
11,STEPN,9.369864463806152,9.581498121169336
12,xrp,1.19129,1.1997507098677913
13,Theta Network,6.95447301864624,6.864922670102567
14,Bitcoin Gold,69.49895477294922,68.75656969223243
15,Gnosis,299.32391357421875,300.94582419002853
16,near protocol,5.315,5.234019053638821
17,Synthetix,12.245244026184082,12.12523404774917
18,monero,315.037,309.71477140579515
19,eCash,9.40000027185306e-05,9.40000027185306e-05
20,Flow,22.166019439697266,22.16410255432129
21,KuCoin Token,13.344459533691406,13.235588353390233
22,Celo,4.163629055023193,4.000701694589157
23,Zilliqa,0.1128389984369278,0.1105421010763264
24,Convex Finance,7.002458095550537,7.123215315740533
25,solana,87.897,84.75743142685734
26,Holo,0.0140479998663067,0.014539022460658807
27,BitTorrent (New),0.0042869998142123,0.004187161203639543
28,Waves,24.67637252807617,24.685905253231397
29,uniswap,27.43,26.902174344752925
30,Neutrino USD,1.0006569623947144,0.9985596330812504
31,Quant,195.5912170410156,191.269272037847
32,polkadot,26.524,25.840954848710876
33,ethereum classic,64.0815,64.1054
34,Loopring,0.4978469908237457,0.4967879951000213
35,Aave,372.9949340820313,365.7692792124099
36,Zcash,152.33831787109375,153.42194066673198
37,The Sandbox,0.7104529738426208,0.6750935088255774
38,Basic Attention Token,0.8451420068740845,0.8401709502303424
39,dogecoin,0.289669,0.28384166120755755
40,Klaytn,1.7443510293960571,1.735422640979614
41,Binance USD,0.9999639987945556,1.0006107317112418
42,Kusama,306.1820678710937,305.9044494628906
43,Shiba Inu,7.000000096013537e-06,6.7904207884239695e-06
44,Neo,55.52012634277344,55.42911911010742
45,unus sed leo,2.9858,2.981152250522171
46,cosmos,20.4457,19.84893151799849
47,NEM,0.199875995516777,0.19904657113381824
48,Lido DAO,6.071691036224365,6.082600116729736
49,Decentraland,0.930428981781006,0.9104287474267233
50,Cronos,0.1568839997053146,0.1558684691574146
51,stellar,0.35733,0.35560296616811
52,Algorand,1.0661139488220217,1.049938876427143
53,Arweave,38.53634643554688,36.34435731655133
54,EOS,5.090341091156006,5.023457750691139
55,PancakeSwap,26.134057998657227,26.164978700050888
56,Mina,2.963104009628296,2.963354110717773
57,Curve DAO Token,2.1836259365081787,2.171528407573233
58,Bitcoin SV,161.7786102294922,160.75952927332787
59,tether,1.0006,1.0004424072158082
60,Decred,179.07078552246094,178.09036640399032
61,Pax Dollar,1.000010967254639,1.0004163444215148
62,THORChain,10.379725456237791,10.048011855530568
63,polygon,1.517,1.4703780153004506
64,ethereum,3273.78,3217.3175584785695
65,Bitcoin BEP2,48269.0,48045.12355336293
66,VeChain,0.1282150000333786,0.12392958832847323
67,1inch,3.2150890827178955,3.211493015289306
68,Fei USD,0.9929310083389282,0.9927939705477143
69,litecoin,176.13,175.70591058446195
70,Qtum,12.87425422668457,13.186466028427665
71,Trust Wallet Token,0.8999069929122925,0.8980910181999207
72,bitcoin,49062.8,48771.0666442326
73,cardano,2.946,2.8788987727003255
74,Stacks,1.4311269521713257,1.438130216211478
75,Dash,242.52386474609372,241.2063898503088
76,Enjin Coin,2.0037429332733154,1.9503063789689337
77,usd coin,0.9994,0.9995487178155692
78,Tezos,5.2435078620910645,4.967573140928927
79,Huobi Token,14.368988990783691,14.029374938371632
80,Nexo,1.9310970306396484,1.9177184377942247
81,ftx token,49.4881,48.34599818531093
82,dai,0.9997,1.0000747848814275
83,TrueUSD,0.9999459981918336,1.0002442352189724
84,tron,0.088285,0.088295
85,Fantom,0.4923639893531799,0.47562880126390406
86,BNB,494.6706237792969,491.46638932223345
87,Chiliz,0.37813600897789,0.3754821428137499
88,Filecoin,75.22450256347656,75.15064239501953
89,Gala,0.0313020013272762,0.0312700010836124
90,Maker,3752.0244140625,3698.349921602108
91,OKB,20.875673294067383,20.495778115449102
92,avalanche,50.11,45.709145045687386
