crypto,Actual 2021.8.27 Close,% change,Actual 2021.8.28 Open,Predicted 8.28 Close
1inch,3.211493015289306,0.0186117751192636,3.2150890827178955,3.2712646010869566
Aave,372.5262145996094,0.0040118164539065,372.9949340820313,374.02072139685157
Algorand,1.065106987953186,-0.0009304608699179,1.0661139488220217,1.0641159475786195
Arweave,38.34687042236328,0.0204583771491231,38.53634643554688,39.13138515995254
Axie Infinity,73.35694885253906,0.0252814622673697,73.68887329101562,75.2115197870039
BNB,494.4986877441406,0.0041178450292652,494.6706237792969,496.534956707446
Basic Attention Token,0.8446109890937805,0.0070506376818341,0.8451420068740845,0.8505660351599762
Binance USD,1.0000319480895996,0.0001307471646412,0.9999639987945556,1.000162699431363
BitTorrent (New),0.0042790002189576,0.0077414887549796,0.0042869998142123,0.0043121260510352154
Bitcoin BEP2,48256.296875,0.0386380133539777,48269.0,50120.82431806976
Bitcoin Gold,69.5392074584961,0.0169176910290353,69.49895477294922,70.71565028468292
Bitcoin SV,161.5417938232422,0.0158038242276609,161.7786102294922,164.09477193824574
Celo,4.1702561378479,0.0362949133503416,4.163629055023193,4.32161522301982
Celsius,5.864846229553223,-0.0031615328918846,5.866648197174072,5.846304325292645
Chiliz,0.377362996339798,0.0031241910428332,0.37813600897789,0.3785419504328595
Convex Finance,6.999957084655762,-0.0187670821064148,7.002458095550537,6.868588315306647
Cronos,0.1568820029497146,0.0171866850017234,0.1568839997053146,0.1595782845168508
Curve DAO Token,2.1815309524536133,0.0082114940342455,2.1836259365081787,2.199444580855208
Dash,242.2235717773437,-0.0023918486580015,242.5238647460937,241.64420965225173
Decentraland,0.9302200078964232,-0.0065218790985448,0.930428981781006,0.9241532254698753
Decred,178.40176391601562,0.0018358258224337,179.07078552246094,178.72927848098038
EOS,5.08466911315918,0.0013597611657998,5.090341091156006,5.091583048760196
Elrond,141.06983947753906,0.0078999016525238,141.037841796875,142.18427733554896
Enjin Coin,2.0028679370880127,0.0064954154324105,2.0037429332733154,2.015877396395654
Fantom,0.4923039972782135,0.0244102771334982,0.4923639893531799,0.5043212742857036
Fei USD,0.9929590225219728,0.000172109577869,0.9929310083389282,0.9931299202801803
Filecoin,75.15064239501953,0.0053421564618819,75.22450256347656,75.55210888490465
Flow,22.16410255432129,0.0047235099539954,22.166019439697266,22.268794913358004
Gala,0.0312700010836124,-0.0189690563509784,0.0313020013272762,0.0306768386709622
Gnosis,299.2017822265625,-0.0039035014566421,299.32391357421875,298.0338476338112
Hedera,0.2545340061187744,0.0067197097747479,0.2540949881076813,0.2562444007676965
Helium,22.77008438110352,0.0218689320556403,22.797870635986328,23.268041809335067
Holo,0.014139000326395,0.0396895781450487,0.0140479998663067,0.014700171284742325
Huobi Token,14.303284645080566,0.0012193150167433,14.368988990783691,14.320724854837065
IOTA,1.0405230522155762,0.0043228870137961,1.0427169799804688,1.0450211158055545
Internet Computer,62.71674728393555,-0.0031896742414014,62.76066589355469,62.5167012906195
Kava,8.15080738067627,-0.0043141643052623,8.160792350769043,8.115643458415487
Klaytn,1.745048999786377,0.0006359743893131,1.7443510293960571,1.7461588062583377
KuCoin Token,13.343106269836426,-0.0021740287028275,13.344459533691406,13.314097973820925
Kusama,305.9044494628906,0.0043209376896854,306.1820678710937,307.2262435280173
Lido DAO,6.082600116729736,0.0833973531664615,6.071691036224365,6.589872866835006
Loopring,0.4967879951000213,0.0104761892043221,0.4978469908237457,0.501992440131125
Maker,3746.96435546875,0.0020035171283155,3752.0244140625,3754.471462734119
Mina,2.963354110717773,-0.0006643903083794,2.963104009628296,2.961385286966316
NEM,0.1997900009155273,7.433270296172134e-05,0.199875995516777,0.19980485184632008
Neo,55.42911911010742,-0.0055992572266787,55.52012634277344,55.118757214361715
Neutrino USD,1.000465989112854,0.0005643762007406,1.0006569623947144,1.0010306283067596
Nexo,1.9308160543441768,0.0108283795477266,1.9310970306396484,1.9517236634174595
OKB,20.86827087402344,0.0019258881250383,20.875673294067383,20.908460829089808
PAX Gold,1821.8453369140625,0.0005473403995218,1822.7208251953125,1822.842506468636
PancakeSwap,26.135805130004883,-0.0133977068178418,26.134057998657227,25.78564527542483
Pax Dollar,1.0000699758529663,-0.0004313597712674,1.000010967254639,0.999638585896931
Qtum,12.848587036132812,-0.0057173124915348,12.87425422668457,12.775127648972557
Quant,195.5929412841797,0.0047041749416675,195.5912170410156,196.51304469733574
STEPN,9.37018585205078,0.0044735562363265,9.369864463806152,9.41210390540476
Shiba Inu,7.000000096013537e-06,0.0006083576630061,7.000000096013537e-06,7.004258599712989e-06
Stacks,1.4289929866790771,-0.0038497411578718,1.4311269521713257,1.4234917335639485
Synthetix,12.223566055297852,0.001688300200555,12.245244026184082,12.244203104320508
THORChain,10.372475624084473,-0.0106493169366268,10.379725456237791,10.26201584374616
Tezos,5.223711013793945,0.0003060569417761,5.2435078620910645,5.22530976681155
The Sandbox,0.7074790000915527,0.0101639441224315,0.7104529738426208,0.714669777116277
Theta Network,6.952980041503906,0.0041179564416895,6.95447301864624,6.981612110454756
TrueUSD,1.0000079870224,0.0008016483294781,0.9999459981918336,1.0008096417546612
Trust Wallet Token,0.8980910181999207,0.0595657080411911,0.8999069929122925,0.9515864455844332
VeChain,0.1281139999628067,0.0065300144379276,0.1282150000333786,0.1289505862322645
Waves,24.62040138244629,-0.004431244185151,24.67637252807617,24.511302371984243
Zcash,152.14804077148438,-0.0054210134722506,152.33831787109375,151.32324419268562
Zilliqa,0.1127799972891807,0.0036337887761065,0.1128389984369278,0.11318981597749944
avalanche,50.04,0.0018261593564989,50.11,50.13138101419921
bitcoin,49064.3,-0.0070111733128413,49062.8,48720.30168922676
bitcoin cash,635.42,0.0119211082708022,635.97,642.9949106174331
cardano,2.9459,0.0003094743014682,2.946,2.946811680344695
chainlink,26.04,0.001464581386882,26.04,26.07813769931441
cosmos,20.4457,0.0150001452546375,20.4457,20.75238846983274
dai,0.9997,-0.0014963817764897,0.9997,0.9982040671380433
dogecoin,0.289678,0.075670745333748,0.289669,0.31159815016678943
eCash,9.40000027185306e-05,0.0855167932163996,9.40000027185306e-05,0.00010203858151335218
ethereum,3273.58,0.0154923569076667,3273.78,3324.295469725799
ethereum classic,64.1054,0.0115665775878808,64.0815,64.84688008290213
ftx token,49.4881,-0.0031152402532313,49.4881,49.33393267882407
litecoin,176.12,-0.0075847542973143,176.13,174.784173073157
monero,315.037,0.0476669493854424,315.037,330.0538527335416
near protocol,5.319,-0.0045001508144334,5.315,5.295063697818028
polkadot,26.558,-0.0421529970958208,26.524,25.438500703129193
polygon,1.517,-0.0004537423053673,1.517,1.5163116729227577
solana,87.897,0.0077018536636245,87.897,88.5739698314716
stellar,0.35733,0.0097930588754982,0.35733,0.36082935372798175
tether,1.0006,-0.000961757305487,1.0006,0.9996376656401297
tron,0.088295,-0.0067791831965819,0.088285,0.08769643201965781
uniswap,27.41,-0.0018190472145683,27.43,27.360139915848684
